cause,accidents,persons
5. EXPLOSIVES,22,39
6. ELECTRICITY,32,41
Fall of Object,419,422
Fall of Roof,86,102
Fall of Sides,109,121
Fall of person,824,830
Flying Pieces,2,2
"Gas, Dust & Other Combustible Material",3,3
Irruption of Water,1,5
MACHINERY,210,219
Miscellaneous,453,457
Other Ground Movement,3,4
Other Transp. Machinery,41,43
Other falls,30,31
Rope Haulage,230,239
Transp,118,143
Transportation Machinery - Winding in Shaft,31,32
