year,company,group,total_accidents_fatal,total_accidents_serious,killed_belowground_male,killed_opencast_male,killed_opencast_female,killed_aboveground_male,killed_aboveground_female,killed_total,seriously_injured_belowground_male,seriously_injured_opencast_male,seriously_injured_opencast_female,seriously_injured_aboveground_male,seriously_injured_total
2020,SCCL,NON-CIL,9,79,3,7,0,2,0,12,57,11,0,18,86
2020,TISCO,NON-CIL,0,4,0,0,0,0,0,0,4,0,0,0,4
2020,SASAN,NON-CIL,1,0,0,2,0,0,0,2,0,0,0,0,0
2020,TOTAL_NON-CIL,TOTAL_NON-CIL,11,85,4,9,0,2,0,15,62,12,0,18,92
2020,TOTAL_ALL_INDIA,TOTAL_ALL_INDIA,48,117,16,28,0,9,0,53,75,34,0,29,138
2021,BCCL,CIL,3,7,2,2,0,0,0,4,2,5,0,2,9
2021,CCL,CIL,2,2,0,1,0,1,0,2,0,1,0,1,2
2021,ECL,CIL,9,10,6,2,0,2,0,10,8,0,0,3,11
2021,MCL,CIL,2,3,0,1,0,1,0,2,0,0,0,3,3
2021,NCL,CIL,3,7,0,3,0,0,0,3,1,6,0,0,7
2021,SECL,CIL,7,19,5,2,0,0,0,7,11,3,0,5,19
2021,WCL,CIL,6,5,1,4,0,1,0,6,0,2,0,4,6
2021,TOTAL_CIL,TOTAL_CIL,32,53,14,15,0,5,0,34,22,17,0,18,57
2021,IISCO,NON-CIL,0,1,0,0,0,0,0,0,0,0,0,2,2
2021,NLC,NON-CIL,0,1,0,0,0,0,0,0,0,1,0,0,1
2021,SCCL,NON-CIL,7,126,6,6,0,1,0,13,86,15,0,27,128
2021,TISCO,NON-CIL,1,5,0,0,0,1,0,1,3,1,0,1,5
2021,NTPC,NON-CIL,1,0,0,1,0,0,0,1,0,0,0,0,0
2021,TOTAL_NON-CIL,TOTAL_NON-CIL,11,133,7,8,0,2,0,17,89,17,0,30,136
2021,TOTAL_ALL_INDIA,TOTAL_ALL_INDIA,43,186,21,23,0,7,0,51,111,34,0,48,193
2022,BCCL,CIL,4,5,0,5,0,0,0,5,1,3,0,2,6
2022,CCL,CIL,3,3,2,1,0,0,0,3,0,2,0,1,3
