cause,year,accidents,persons
OPENCAST,2016,30,52
OPENCAST,2017,29,29
OPENCAST,2018,29,32
OPENCAST,2019,22,25
OPENCAST,2020,24,28
OPENCAST,2021,21,23
OPENCAST,2022,11,12
ABOVE GROUND,2013,18,18
ABOVE GROUND,2014,8,8
ABOVE GROUND,2015,8,8
ABOVE GROUND,2016,11,13
ABOVE GROUND,2017,9,11
ABOVE GROUND,2018,8,11
ABOVE GROUND,2019,10,10
ABOVE GROUND,2020,9,9
ABOVE GROUND,2021,6,7
ABOVE GROUND,2022,4,4
